text,favoriteCount
@ItThuthukaM Aw Harry Potter,0
"@simon_sabin @greglow That is maybe true, but Greg is ""da man"". :) - seriously though, and it might be coincidence, https://t.co/fkvztfLL4c",0
"@SirRandomTask Its ok, post today and they thought it was their harry potter knitting book in my name so opened it. https://t.co/8Q9e7MeyPX",0
@shreyabasu003 The Harry Potter series is right there. What do you mean???,0
@writingbych @SeriaViri @JustJuju18 @whooshnoise @mikeydah @monsterserenade @shreyabasu003 jabbing at someone who m https://t.co/ILkhESOXm3,0
does anyone know where you can watch the whole Harry Potter series for free online?? seems like a good time for a marathon,0
my harry potter backpack just chilling in the second pic https://t.co/6S0wRU4OGx,0
"@missskwps @Kirkcaldywestps Top 3 things about my Easter holidays - 1. My birthday and the cake  , 2. Reading Harr https://t.co/PlqeENKtld",0
"@JessSFrankel @Travis_Borne @wgevans @cw_hawes @joanne_paulson @d_ast777 Thanks, Jesse. 5 nevers and 5 friends.
I h https://t.co/wRTvbzW7lc",0
"liking YA fiction is fine, liking the harry potter franchise is not. choke on your primark merch and suck my fucking dick",0
"@JadeRK_ @Vanjshed @LarSheen Its like harry potter hogwarts houses. Slytherin,hufflepuff,gryffindor and ravenclaw-",0
"Welbeck Bedtime Stories - Harry Potter - Part 5 - Read by Miss Sigsworth
For video please go to: https://t.co/hDpbWl04U5",0
Anyone wanna watch the entire Harry Potter Movie Series,1
"Coming up in March Madness: Book Edition: The Final Four!

Harry Potter and the Chamber of Secrets (J. K. Rowling) https://t.co/9HVEQYHZq1",0
Is it really cyberbullying if they put their Harry Potter house in their hinge profile,0
"You are a powerful, energetic Marowak, and you are Harry Freaking Potter.",0
"Get Paid $1,000 To Binge-Watch Harry Potter Movies https://t.co/c9teBT3QTC via @projectcasting",0
@JoshBreslowWKRN @WKRN @SteveCarell Professor Snape from Harry Potter.,1
harry potter and the seven dwarves.,0
@signor_bobby Harry Potter,0
From Harry Potter at Home to the National Shelf Service: bookish fun for the lockdown https://t.co/fHFdBu384W,0
lavender brown is the best character in harry potter and you cant change my mind,0
"@ladymultifandom harry potter, btvs, period drama, game of thrones, lotr, marvel, twilight, narnia !",0
Giving me paintings from Harry Potter vibes https://t.co/ZKBvtvqLjw,0
"We were driving in Kruger and in the distance, I thought I saw a person in a tree. Looking through my binoculars I https://t.co/ZZCQo19m38",5
@70splant a guy in eighth grade found out i liked harry potter and showed up to school in hufflepuff robes for like a month ,0
"Reading is fantastic. Harry Potter made me fall in love with it, school made me fall out of love with it for awhile https://t.co/djzNk3UtFj",0
"Its fucked that people carried on giving Harry Potter attention even after Diary of a Wimpy Kid, the far superior novel, was released",1
"6 books 6 people 

Harry Potter series
Who fears Death
Bone
Soft Magic
The Fisherman
I Do Not Come To You By Chanc https://t.co/qZlSckgNNj",2
@CJahnz @mianjanssen Strong Harry Potter Vibes.,1
After I finish GoT(did I do that right) I guess Ill watch them Harry Potter movies,0
Tried to do a little @MagicalReadthn reading outside on the sun (feat. my Harry Potter dress) but it was so windy t https://t.co/YXNaC2lpsP,0
what i really need rn is a heavy storm so i can listen to the rain of the windows and wrap up in a blanket and watch a harry potter film,3
"Just thought Id share some of the items that sold over the weekend. So random, from concert tees, Harry Potter bat https://t.co/98G6nepFjl",0
I used to do this as a teaching activity - one of my 14 year old film students turned Harry Potter and the Goblet o https://t.co/XAsKm5ttIG,0
SHOULD i watch harry potter just for draco malfoy,0
thats it im listening to harry potter soundtrack,0
"You Can Get Paid $1,000 To Watch All The Harry Potter Movies https://t.co/0eXce0kbGF",0
"@ad_I_am @scottmuldoon @TheQuill @call_me_cynical @shippocaster Scrooged (Bill Murray one innit)
Trading Places
Wit https://t.co/OEGZ60qgH5",0
"A wedding photographer stuck in quarantine shot an entire wedding day out of LEGO, and Harry Potter was the father https://t.co/LyW7VrytSC",0
"I even forget what happens in my FAVOURITE books.

What happened in Chain of Gold? A Darker Shade of Magic? Harry P https://t.co/otX0TqsBvW",0
@Hermesparcels How in the hell do you stay in business? This is the 2nd company I have got something from in the sp https://t.co/3XjmEbywdG,0
"My 6 yr old lost BOTH front teeth this wkend! Toothfairy left 2 character coins, reigniting her love of all things https://t.co/lsNZkyGy9a",0
@BryantmKaylee @itsdanielleruss read this!! a story where hope and josie are in the harry potter universe https://t.co/1xC04rC1eH,1
"[ATTENTION!!!] 

WE'RE OPEN REGISTRATION FOR INDONESIAN ROLEPLAY HARRY POTTER BASED ON GOLDEN TRIO ERA. LET'S JOIN https://t.co/3VNfYD6nWL",0
"Many fantastic audio books available for free 
https://t.co/KFuEtahG9Y Click on the link to enjoy Stephen Fry readi https://t.co/u22oCjMWuw",0
"@ItsMikeysMindYT I loved watching your Harry potter video, I need to get round to watching the Chamber of Secrets video. ",0
Amo mucho harry potter ,0
see the great thing about having opinions is that you can either think that dean and seamus are the best harry pott https://t.co/SyyC6j9ftZ,7
"Harry Potter and the Sorceresss Bone. Wait, my bad, thats the porn version. https://t.co/543feHzGN0",0
Enjoying a nice German @Bitburger beer in the sun on my balcony... Still reading Harry Potter and the Philosopher's https://t.co/dt9X71LLFR,1
@heathermcbreen1 My daughter dislikes reading. The only books she has ever finished are The Hunger Games trilogy an https://t.co/EdUHuJzbdL,0
imagine having not one but TWO copies of the harry potter books,5
"@The_WriteReads As single book, The Count of Montecristo followed by The Great Gastby, Pride and Prejudice, Sense a https://t.co/yRVyMxHqy0",1
@NicoleKSchubert Harry Potter is girly. Nobody wants to be Harry.,0
sude is watching harry potter and the goblet of fire in a school,0
Wanna have a Harry Potter marathon...jk jk...unless,0
i just wanna watch harry potter  spare link anyone?,0
@___izzymaria Harry Potter and the audacity of this mf.,0
What is you guys favourite movie? Besides Harry Potter for me its probably The Greatest Showman ,0
Harry Potter and the Goblet of Fire,0
he will make for great Snape in Harry Potter prequels. https://t.co/1EGgY5Zgpb,1
Parker talked with T while Harry Potter killed someone in the background,0
"i'm  S T R U G L I N G  because i'm reading the harry potter books in swedish, and i do not speak swedish (yet)",1
"harry potter, trek, and",0
Can Netflix grow up now and put Harry Potter on there,0
"`Handmaids Tale, Harry Potter on challenged books list https://t.co/ey640YOWXp https://t.co/OOVAKENVyL",0
"I got Captain Marvel, Sansa, and Hermione! Queens only  https://t.co/E0e1iCN0DW",0
"Having just finished a #harrypotter marathon, this old write up speaks to me so much. 

Scenes I Love: Harry Potte https://t.co/rH0NwOZWer",0
@Autkuodbs Harry potter,0
The most-awaited online classes  https://t.co/1nRQVPZm8X,0
@year3bdp @AccReader @bentondeneprim Joes caught the harry potter bug this weekend so hes half way through the cham https://t.co/JSQWfTEK1N,2
@iamkristiekay @VANS_66 @journeys We apologize that these Harry Potter Old Skool Vans are only available in our sto https://t.co/gYbHHcX4q8,0
"@dohese15 Revenge of the Sith
A few Harry Potter movies
idk, there's plenty off the top of my head.",1
auto blu - shiva ft. harry potter e ron weasley https://t.co/nI0ik9Oq8N,3
"@yolo_goat Lol I know. I think seeing JK Rowling has become some kind of trigger too, and yeah, she sucks, and IMO https://t.co/EPpOlyoIep",1
"I am having fun with NASCAR Heat 4. Really, I am. However, just once would I like to have one of the video messages https://t.co/nMzLCx8l17",1
since i can't sleep early then i have to get back reading harry potter's ebook of where i left!,0
"I keep finding tweets about sex, and harry potter fucking another girl in roleplay, I'm done with twitter for today.",0
@MikeCulpeper @BRAND0NSE @skynight4703 @editor_wp @NBCNews For someone with RN attached to their name you sure know https://t.co/dLSEQsgGAd,1
"In the Harry Potter universe they learn potions and spells and memorize magic incantations, but nobody seems to car https://t.co/5w7rt0aI0E",0
"Origin
Inferno
Angels and demons
Americanah
The first olympian
Sea of monsters
The lost symbol
The First confessor https://t.co/O8t8slN23T",0
"On Monday, the American Library Association released its annual snapshot of books most ""challenged"" by parents and https://t.co/1CdaSwL7Vm",0
i've never read the harry potter books or saw the movie where umbridge is in but i cant stand her already if these https://t.co/qAN5RN1wSu,2
"You Can Get Paid $1,000 To Watch All The Harry Potter Movies https://t.co/vFqaZ8pzEk",0
"Look I hate Harry potter as much as the next guy, but if there's one thing I hate it's gatekeeping art. A book isn' https://t.co/wrnqOmKjrr",0
ok im bored so gonna watch all harry potter movies tonight hehe,0
What are your top 5 favorite Harry Potter characters?  I'm not into the whole Harry Potter thing https://t.co/3urNBmPc2o,0
I love my sister and it is the only goddamned reason I am holding back on this fucking TORRENTIAL DOWNPOUR of JUST HOW BAD HARRY POTTER IS,0
My day is going to consist of nothing but Harry Potter and animal crossing,0
Anyone who owns two sets of Harry Potter needs to be locked up https://t.co/JJKLgSL9L9,0
I'm looking through my old screenshots. I'm currently finished with my teen wolf phase and I'm now going through my harry potter phase,1
@616buck This is really great. I've had a soft spot of crossover fanfic since the old Percy Jackson/Harry Potter cr https://t.co/6W9mIMlMoX,0
@Bettyvstuff Worked for Harry Potter ,0
"@BrucioMcCulloch From what I learned by watching the movies, there's just one rule - If you're not Harry Potter, you're fucked.",0
"@ReigningReader @bobo_circus @SophiaEHanson when girl not read harry potter??
internalized misogyny!",0
@HKesvani There was that point where everyone was fucking obsessed with Twilight and the latter Harry Potter movies too.,0
"@_adropofred So its true then. What they were saying on the train. Harry Potter has come to Hogwarts.
Harry Potter https://t.co/I4ZXHEH0ry",0
WEIGH IN: Are you surprised by any of the books that made it on the list? https://t.co/IAgIRWHuMh,0
"Free Audio books For the kids on a rainy day, https://t.co/lbyRE1rpXV including Harry Potter and the philosopher's/ https://t.co/lrIawvHe23",0
"Secure your bag! You can get paid $1000 to watch all of the #HarryPotter movies 

https://t.co/iCCf8YM2fl",3
"1. Harry Potter
2. The Lost Tribe; The Induwini Clan
3. The Origins of Political Order
4. Black Skin White Masks
5. https://t.co/h6DC1NHNsk",3
"Jennie
1. Ocean's 8
2. Mulan
3. Harry Potter",1
Harry Potter #RAVENCLAW https://t.co/XaqZjSjav4,0
i think theres something amazing seeing adults watch childhood gems like harry potter for the first time,3
Harry Potter #Gryffindor https://t.co/CqM2OmtX9y,0
"This week in #SwootxStayHome: movie marathons. Because binging isn't just for TV shows. 

Do you love movies enough https://t.co/xayGxD92Pq",0
@EvanPlatinum You mean you dont like middle aged cat lady spinsters and man children constantly referencing Harry Potter in politics?,1
@__Pekaboo HARRY POTTER,0
"LRT there was a fic that is longer than some of the later Harry Potter books, I gave up on it a few chapters in bec https://t.co/PPn8VcVxG5",0
"6 Books
Exploiting Chaos
Yes, Please
Bad Blood
Shoe Dog
Harry Potter and the Prisoner of Azkaban
Steal like an arti https://t.co/BVzB51K6Dg",0
Hes not even a good songwriter you said that already hes just coasting off dumb girls in the audience who think h https://t.co/g05tFkPxLS,1
@ZachButkovich You cant hate Harry Potter ,0
Do people who post crap like this ever consider that maybe the person is a parent with a child who is reading the b https://t.co/SjgBwRhpS6,3
@txxhyungie harry potter,0
in all honesty the only ones ive read from there are harry potter and the divergent series (which isnt that good) but still,0
ie jurassic or harry potter,0
Bro by Wednesday I will have Harry Potter from 2 to 7 part 1 &amp; 2 https://t.co/SE1E3aTcmz,0
@jones_celia @MMTRUTHORLIE @The_ChrisShaw Dreadful name - sounds like witches Brew or snakes testicles - nothing to https://t.co/e9qZP0SmsL,1
"#AskPooja,madam all know you love a ton of harry Potter but we don't know you love or see the marvel movies,some of https://t.co/s6Fo4i5NCo",0
"on the 3rd movie of the harry potter series,,, and i still have so many questions!!!",0
@Prawidyarief HARRY POTTER!!,0
@gunnapatn do you like harry potter? #MarkGunFantalk,0
Some Harry Potter before going to bed. https://t.co/qajpL0C9BA,0
"@netflix @NetflixNL  Hey Netflix, be nice for us during quarantine and put all of the Harry Potter films online for https://t.co/ZNTWZZUAjg",0
Listening to Stephen Fry narrate Harry Potter 5 &amp; the GF says Chow Chang is a groupie slut for always going for the https://t.co/3D6EXCOz6c,0
@Mmarksiwat do you like harry potter? #MarkGunFantalk,0
"@AlexSpiddleston supernatural, Harry potter, the witcher, Lord of the rings, the mortal instruments,",0
harry potter https://t.co/V9M7HOXjcD,3
@lys_fromtherapy Sometimes I think about how Adam Sandler won the Kids Choice Award for Best Movie Actor for Jack a https://t.co/nlZTId9Ugg,1
"did i decide to decorate my house with subtle harry potter themed decor? yes. did i spend $300 doing so? also, yes. https://t.co/y9Nkl7kFyF",1
I can't believe next year it'll be a decade since Harry Potter ended and I'm just watching the movies for the first time.,0
@RyanHurd has Hayes worn the Harry Potter outfit I got him? #askryan,0
Gonna binge the Harry Potter series with my girl then LOTR can't believe she never watched neither of them. Blasphemous.,1
"subtweet time! I am so tired of discourse on Harry Potter I have the house names muted, and I do not read YA books https://t.co/ohzaNXWzfm",5
"like harry potter, imagine how fun it'd be if we had a 6 platform. and then we'd go to the world that jimin talked https://t.co/ktpy0V19SK",0
"Listen up Muggles! This company will pay you $1,000 to binge watch all Harry Potter films https://t.co/oZbo4TV5d4",0
@txxhyungie Harry Potter,0
"@jk_rowling  Harry Potter And The Scepter Of Time: 
Chapter one: Portal Of Dreams.",0
My dad just sent the family chat what Harry Potter cake would beat fit each of us and I think that's beautiful. https://t.co/qn15MB6i0m,1
"For pure range, you could do worse than Cuaron:

Y Tu Mama Tambien 
Harry Potter and the Prisoner of Azkaban
Childr https://t.co/H8vSC2Ly60",2
@wlwsirius can we watch a harry potter movie pls ,1
@txxhyungie Harry Potter ,0
Harry Potter https://t.co/uLipCwALxl,0
"Are the death eaters inspired by the kkk? 
They have a lot of similarities, they are both a supremacist hate group, https://t.co/g3Xm6PuROH",0
"`Handmaid's Tale,' Harry Potter on Challenged Books List - https://t.co/AIS57PZ0DR",0
harry potter https://t.co/fFkaCuE73E,0
@harlinwolf Or the 4th Harry potter movie,0
is doing harry potter marathon,0
@txxhyungie Harry Potter,0
Ive just sorted all of my books on my bookshelf and finally updated my GoodReads to show all of my unread physical https://t.co/XzvImfFltK,3
"Featured Art of the Day: ""Harry Potter the Wizard"". Buy it at: https://t.co/O5q4ulGNdA https://t.co/emg3trM1ux",0
"76th Film of 2020: Harry Potter and the Prisoner of Azkaban.   The look, feel, and tone is elevated in a way that r https://t.co/EmkJKBVDsz",0
@TamronHallShow Harry Potter; LOtR; The Matrix; Star Wars 4/5/6; Pokemon; all types of stuff lol!  https://t.co/2ZNP9hcwvf,0
"`Handmaids Tale, Harry Potter on challenged books list https://t.co/0K8DZ4mXfk",0
I might rewatch all the Harry Potter films again because why not? No such thing as too much Harry Potter.,4
"@ChthonicMyth Concept:  A George Lucas style after the fact edit of the Harry Potter movies, but it makes Dumbledor https://t.co/smPCb1rHKT",0
Half of me wants to read some of my counseling and neuro books. Half of me wants to keep reading Harry Potter. Such https://t.co/n1apAz3zGP,0
"Tier List Game of Thrones, Harry Potter, The 100, The Walking Dead  il ny aura pas mieux ailleurs !!! https://t.co/et3sDij83o",0
"We crossed the $2,400 mark last night in the Kickstarter! Huzzah! 

Interested in getting in on the ground floor fo https://t.co/XxROaBlwJ3",2
Harry Potter https://t.co/nFTpbeVWvn,0
Harry Potter by Erin Young https://t.co/xoIMLXqIO5  #rebornbaby #handmadebaby https://t.co/SH9A8NnEzi,0
@tonyjay78 @clarwood @mattglasby @RosarellaFletch @ian_sandwell @izzymks @cleverrgirrl @morganjeffery @hugharmitage https://t.co/860T3BMXdb,0
5 of 5 stars to Harry Potter and the Sorcerer's Stone by J.K. Rowling https://t.co/Jwq726Vz3d,0
@surnamewoah I agree but the Harry Potter series has to be an exception,0
@ruthithompson @HeatonAvenueSch @eyfschurch @Y1church_prim @Y2church_prim @PEchurchprim1 @Y4church_prim https://t.co/VYUiGrZH31,1
Whole neighborhood is out of power.... so much for a Harry Potter marathon today :|,0
"I solemnly swear that I am up to no good. - J.K. Rowling, Harry Potter and the Prisoner of Azkaban",0
A Harry Potter spell that would cause your opponent to immediately orgasm would probably be very effective,4
"Lol she put Harry Potter on the wall twice. The more I look at this, the more terrifying it becomes. https://t.co/rl000M53QK",0
"@Travel21JPN Speaking of owl, it is Harry Potter for me.
I loved Hedwig.",0
"[quarantine scavenger hunt]

me: ok first clue is; Harry Potter used this

kids: cloak? we don't have a cloak

me: https://t.co/dbJn6Hg0uq",0
7. i dont harry potter,0
"Attention, Harry Potter Fans: You Can Now Take Hogwarts Classes OnlineFor Free https://t.co/d9BUn060lv",9
"Such a beautiful place it is, to be with friends. Dobby is happy to be with his friend, Harry Potter.",0
"Its #NationalLibraryWeek!   During this uncertain time, libraries are providing online services and virtual exper https://t.co/u10zTZDV6k",2
"On Monday, the American Library Association released its annual snapshot of books most ""challenged"" by parents and https://t.co/aTXXooyISr",0
@SMJOSamJones Thats very neat colouring Joseph! And Im sure you did very well on your Harry Potter quiz ,0
"I love Harry Potter so much i think i will purchase the digital versions in addition to the DVD collection, just be https://t.co/ZRGflUoC7r",0
"@TlilChic @aniribe 1. Prometheus Deception - R.Ludlam
2. Harry Potter and the Goblet of fire - J.K.R
3. The concubi https://t.co/lXfYK3zvlR",3
"To complete these activities, all you need is a piece of paper and a pencil 

To help you kick off activity 1, my https://t.co/5JWbLHzIjX",0
@txxhyungie Harry potter the maze runner,2
@txxhyungie Harry potter,0
@txxhyungie Harry Potter,0
"@rosieeeeposey @shreyabasu003 True story: the first time I had ever heard of Harry Potter was in 2003, in Iraq, fro https://t.co/YgQ6MvSgNU",0
@engineers_feed Wtf harry potter,0
"Harry Potter Full Episode
https://t.co/G7TrdCz2Ap
===============

#HarryPotter https://t.co/0qayycYx0Q",1
my only wish is for people to shut up about harry potter,0
What's your favorite Harry Potter book &amp; movie?,0
J hesite fort entre star wars et harry potter https://t.co/93yTDFQ8wg,0
"@jk_rowling In this quarantine, I read Harry Potter Book 3, Book 4 and now I'm reading 5
Thank you!!!",0
"The company will pay five people $41.50 an hour plus $1,000 and prizes to watch all 10 Harry Potter films, in addit https://t.co/azYsA5bwOg",4
@txxhyungie Harry potter sama film disney :v,0
Here I am attempting to watch as many Harry Potter films as I can in one day (or before I pass out due to drinking) https://t.co/AnPmgzEE25,0
@boy_cooties @sextoyspolitics @shreyabasu003 Ah yes the intellectual insecurity relating to Harry Potter and divergent,2
"Having not watch any of the Harry Potter films, me and the Mrs thought wed give them a go.
Watched the first two a https://t.co/RyV6LRMGWb",1
I should be in the queue for Harry Potter World right now ,0
"Handmaids Tale, Harry Potter on challenged books list
https://t.co/SdS03OundD",2
ohh this reminds me of harry potter's newspapers tho https://t.co/tsqiPjCARA,0
3. harry potter(the character) is kinda annoying,4
@txxhyungie Harry Potter,0
@medicold @DrChitrani @super378 @DrManita @Saranghae_peace @DrSwatiAIIMS @srinivasaiims @SonaliVaid @ShwetaAgarval https://t.co/eCo4yNeogo,0
@NafissaMusic BUT HARRY POTTER GIIIIRLLLL  https://t.co/scgkbJvsiP,0
@bubblyMcbubble how did you know i look Harry Potter damn...,0
"why isnt harry potter on netflix along with hsm 1, 2 &amp; 3? ",0
Just bought another Harry Potter book ,4
"@nimmypal @Kirti @FunFactAddict @pradeepk209 @ImVHarini @theBekku @milified Bhagavad Gita
Mahabharata
Ramayana
Gode https://t.co/GT0LoC0WQS",4
Ima let you finish...... but Harry Potter did it first in 2004. https://t.co/X8q1lag6G6 https://t.co/mJ1KVTXhzf,0
Guess Im gonna start my next Harry Potter rewatch,0
im sitting in math class and im trying to focus and literally all i can think about is how much i love harry pott https://t.co/2v2HrU9V1B,0
nw: harry potter and the goblet of fire  (again),0
"michelangelos vitruvian nan, a london underground ticket from a trip, my harry potter ticket from when i watched t https://t.co/aGnUAWmCrk",7
"The American Library Association released its annual snapshot of books most ""challenged"" by parents and other commu https://t.co/Ya7ylnXzRA",0
Harry Potter movie marathon with my bebegerl.  magiging Potterhead ka din,0
How long do u think itll take me to get bored of reading the Harry Potter books @NnatashaXx,1
"Well, well, well! Isn't this cute. The rumors were true. You must be Harry Potter, the famous bastard. My name is D https://t.co/j8QpNeCS4V",1
The fervor with which Jason Mantzoukas discusses Harry Potter on @replyall is the exact fervor with which I discuss https://t.co/29GOcfGEA6,0
Check out what I just added to my closet on Poshmark: Harry Potter Pajama Set. https://t.co/vNmBCYl8OY via @poshmarkapp #shopmycloset,0
"""Anyway, where's the fun without a bit of risk?"" - Fred Weasley, Harry Potter and the Goblet of Fire.",0
I got Ravenclaw!! https://t.co/WThIBdHOun,0
Trying to construct an recreation of Ilvermorny from Harry Potter and need some podcasts. Any suggestions? Already https://t.co/iwRTYPziCq,0
@kykysimsim Every Harry Potter and Twilight film,0
Yes I love Harry Potter. Yes I love Carry On. Yes I have the rest of the Mistborn trilogy on my TBR. Yes Im also a https://t.co/Mp6XC3SWMC,10
Oh damn bro you look hot in your dp as well. You look like Harry potter doing expecto Ptranum to the screen but min https://t.co/WrWCgn8aHK,0
"""Yer a wizard, Harry"" | Harry Potter and the Philosopher's Stone https://t.co/y4uzqWy0Gn via @YouTube",1
Shameful confessions: I know everything there is to know about harry potter,1
I miss Harry Potter and the gang https://t.co/oG65MehqWo,0
@goodreads Harry Potter.,0
"Harry Potter, obvio. https://t.co/gDiTJ6AK0s",0
"From the archive, a year ago. ""Your Song"", Harry Potter and text messaging: #Top10 Hits That Blindsided Experts and https://t.co/7wZG7UCXk9",1
"Some art Neve Drew this morning. An angry eagle and a funny Harry potter. 
I have a little artist on my hands. https://t.co/A9fEoae5mV",1
HARRY POTTER https://t.co/b9Wm8obqVF,2
"Hogwarts House #hogwartshouse

(Anyone who wants to be in a Harry Potter group you are free to join and give your i https://t.co/SbktcDoCRc",0
"Okay, I'm not late or anything, but this will be a thread as I embark upon watching all 8 Harry Potter movies. I'm https://t.co/TGofDynh0j",2
@samareeye128 Oh you meant THOSE ppl. I absolutely hate adult harry potter stans,1
"My entire personality is the result of the combination of these movies:

Shrek, The Emperors New Groove, Matilda, https://t.co/uyTlS09S9r",2
@curlyhairbiblio If you were to flip through the THOUSANDS of notes I have in @sabaatahir books you might find thin https://t.co/G8hnISWKKk,0
"Eventually, my fianc and I are gonna buy a house. In that house, I will have an office. That office will be Harry https://t.co/Tb3ozqMlrG",0
@frogbrak harry potter is hispanic and hermoine granger is black . i said what i said,4
My  review of Harry Potter and the Goblet of Fire on Letterboxd https://t.co/Opjj9rcFxa,0
"On page 231 of 800 of Harry Potter and the Order of the Phoenix, by J.K. Rowling https://t.co/MrTmlpQvpr",0
@marshalsmaid probably harry potter...... hate that,0
@etonrifle_ Harry Potter and the goblet of pish.,1
@subtanyarl Harry Potter,0
my goal by the end of the year is to own all the harry potter and lord of the rings movies on dvd,0
